RackNum,Size,frequency,Location
1,XSmall,15,GlendaleGalleria1
1,Small,21,GlendaleGalleria1
1,Medium,17,GlendaleGalleria1
1,Large,12,GlendaleGalleria1
1,ExtraL,8,GlendaleGalleria1
2,XSmall,5,GlendaleGalleria2
2,Small,12,GlendaleGalleria2
2,Medium,6,GlendaleGalleria2
2,Large,6,GlendaleGalleria2
2,ExtraL,7,GlendaleGalleria2
3,XSmall,36,Eagle Rock Plaza
3,Small,32,Eagle Rock Plaza
3,Medium,23,Eagle Rock Plaza
3,Large,20,Eagle Rock Plaza
3,ExtraL,14,Eagle Rock Plaza
